Time,Energy 1,Energy 2,Total,Scatterer,Absorber
60474081,242.906087,397.002292,639.908378,4,6
60505352,229.468659,433.429044,662.897704,4,8
60533068,211.438042,444.368379,655.806421,3,7
60556081,231.019990,421.134049,652.154039,3,8
60582033,270.441145,399.415719,669.856864,1,7
60607187,266.661269,418.552887,685.214156,4,7
60651546,246.274246,369.112987,615.387233,1,6
60655695,221.742669,479.087271,700.829940,3,7
60871666,304.019151,404.045730,708.064881,4,6
60940247,225.358300,408.401021,633.759321,4,5
61052332,221.496217,435.587445,657.083662,4,8
61201559,203.275979,425.823242,629.099222,4,5
61384762,298.205667,367.139529,665.345196,1,6
61580136,335.556348,315.629166,651.185514,3,8
61888348,222.775136,445.766821,668.541957,4,5
61933518,335.448222,336.067371,671.515593,3,6
62066030,265.250004,383.580328,648.830332,3,5
62100880,251.899609,409.140437,661.040045,2,7
62359258,255.990008,370.727404,626.717412,2,7
62751198,242.334650,378.477044,620.811695,3,6
62752328,235.488093,402.796855,638.284948,3,8
62861613,233.635872,400.684386,634.320258,1,6
63155263,185.367324,475.772954,661.140278,3,5
63195529,221.057242,401.515556,622.572797,1,6
63248958,524.193995,138.486937,662.680931,4,6
63363411,156.956407,463.078744,620.035151,1,7
63465316,314.223134,340.083225,654.306359,3,6
63499065,268.223494,393.758157,661.981651,4,6
63727997,189.027049,474.124815,663.151864,2,5
63780606,226.171633,417.639957,643.811589,3,7
63811958,208.328301,454.254035,662.582336,3,8
63962369,223.035815,404.874585,627.910401,4,5
64357321,257.684334,397.106354,654.790688,4,6
64499512,251.158862,381.588028,632.746890,1,7
64607136,226.896549,471.838252,698.734801,2,7
64665567,218.030358,446.740503,664.770860,3,7
64731244,273.112361,382.239288,655.351648,4,7
64742391,249.460952,376.475229,625.936181,2,8
64775146,261.852952,387.434773,649.287725,4,6
65111647,284.725719,372.608882,657.334602,3,5
65116737,236.657845,402.166425,638.824270,2,7
65409421,262.557718,402.676862,665.234581,4,5
65411519,244.125765,399.531811,643.657577,1,5
65443617,216.887420,432.041920,648.929341,3,8
65657072,191.643490,411.865416,603.508906,3,8
65676506,269.171266,416.545712,685.716978,2,5
66486858,226.678519,444.803363,671.481882,2,6
66514279,252.873609,422.880282,675.753891,2,7
66634374,227.260610,459.080472,686.341081,1,6
66739240,315.448114,321.799912,637.248025,2,8
66750955,224.786576,432.635866,657.422442,2,7
67201661,461.846426,203.392830,665.239256,3,5
67784805,214.695898,413.366865,628.062763,1,5
67825965,184.723952,479.270991,663.994944,2,7
67997433,252.904570,410.546252,663.450822,4,5
68031911,288.250519,421.735799,709.986318,3,6
68161242,276.509524,392.617763,669.127287,3,6
68250253,264.683757,346.775114,611.458870,2,6
68269405,158.643327,452.597588,611.240915,1,7
68336285,280.144358,365.968127,646.112486,2,8
68374314,225.932503,435.698935,661.631438,4,5
68601452,268.397272,389.608891,658.006162,1,8
68830877,215.334940,529.875959,745.210899,2,6
68953640,275.252724,391.130955,666.383679,3,5
69101772,207.233764,441.670439,648.904203,3,5
69168494,256.358401,410.999278,667.357679,1,7
69261584,222.729750,456.579295,679.309045,1,6
69376531,233.533232,406.525403,640.058634,2,5
69581906,260.035143,410.587200,670.622343,4,7
69611511,231.931409,403.424683,635.356091,4,5
69686484,253.002133,424.497088,677.499221,4,5
69746089,203.063850,472.043273,675.107122,1,5
69748396,295.026783,411.642460,706.669244,2,8
69797851,333.396722,316.987309,650.384031,4,5
69801486,272.462569,390.043838,662.506407,3,7
69892616,294.009938,364.717752,658.727690,3,6
70111515,231.740573,430.930874,662.671447,2,7
70175129,181.263559,462.395034,643.658592,2,8
70507293,244.765858,398.751368,643.517226,4,5
70601697,256.564969,413.091041,669.656010,2,7
70719390,489.538229,154.713074,644.251303,2,5
70803079,256.990821,468.343906,725.334727,3,8
70881690,246.278291,453.303423,699.581713,2,6
70890267,229.505845,405.048701,634.554546,3,8
70903726,179.155499,414.699823,593.855322,1,6
70918275,227.584154,417.874410,645.458564,2,7
70957492,300.020596,376.013802,676.034398,4,7
71060852,234.826283,432.297654,667.123937,1,6
71367656,267.549380,436.566634,704.116015,3,6
71440767,221.623388,408.973037,630.596425,4,8
71499784,329.752402,343.556799,673.309201,3,7
71551259,230.064528,444.137635,674.202163,4,8
71571842,258.340668,446.491647,704.832315,4,6
71608595,270.697987,401.031144,671.729132,3,6
71642213,262.199153,428.629041,690.828194,2,8
72097535,289.563933,364.237507,653.801441,3,6
72152193,225.880437,455.995583,681.876020,4,6
72343966,279.952790,403.974884,683.927674,1,5
72350971,186.458733,447.506375,633.965108,1,5
72459536,306.555950,363.654763,670.210712,3,6
72497854,156.427857,533.212459,689.640316,1,6
72547873,248.229957,428.757391,676.987348,3,8
72562827,265.067024,433.589331,698.656356,1,6
